구 분 | 특정질병 | 분류코드 | 항목명
피부질환 | AGA004 | 기타 비뇨기계 양성 신생물
AGB004 | 기타 비뇨기계 악성 신생물
AGC004 | 기타 비뇨기계 신생물 (양성 또는 악성이 불 확실한)
OAA001 | 급성 신부전
OAA002 | 신우 신염
OAA003 | 수신증
OAA004 | 만성 신장 질환 (신부전 포함)
OAA005 | 신장 결석
OAA006 OAA007 | 방광염 방광 결석
OAA008 | 요도 폐색
OAA009 | 요로 결석증
OAA010 | 신경성 배뇨 이상
OAA011 | 고양이 특발성 방광염(FIC)
OAA012 | 고양이 하부 비뇨기계 질환(FLUTD)
OAA013 | 고양이 하부 요로계 증후군(FUS)
OAA014 | 기타 비뇨기계 질환
OAA015 | 다낭성 신장 질환
OAA016 | 단백 소실성 신증(PLN)
QGA001 | 혈뇨 (원인 불명)
QGA002 | 요실금 (원인 불명)
QGA003 QGA004 | 비정상 성분의 소변 (원인 불명) 핍뇨 (원인 불명)
5 | AFA001 | 지방종
AFA002 | 조직구종 (피부)
AFA003 | 유두종 (피부)
AFA004 | 피지종
AFA005 | 모낭상피종
AFA006 AFA007 | 기저세포종 비만세포종 (피부) (양성)
AFB007 | 비만세포종 (피부) (악성)
AFC007 | 비만세포종(피부) (양성 또는 악성이 불확실 한)
AFA008 | 흑색종 (양성)
AFB008 | 흑색종 (악성)
AFC008 | 흑색종 (양성 또는 악성이 불확실한)
AFB009 | 피부 림프종
AFB010 | 편평세포암종
AFA011 | 항문주위선종
AFB012 | 항문주위선암종
AFA013 | 상세미상의 피부 신생물 (양성)
AFB013 | 상세미상의 피부 신생물 (악성)
AFC013 | 상세미상의 피부 신생물 (양성 또는 악성이 불확실한)
AFA014 | 기타 피부 신생물 (양성)
AFB014 | 기타 피부 신생물 (악성)
AFC014 | 기타 피부 신생물 (양성 또는 악성이 불확실 한)
GAA001 | 외이도염 (세균성)
GAA002 GAA003 | 외이도염 (말라세지아) 외이도염 (알러지성)
