구 분 | 특정질병 | 분류코드 | 항목명
GAA004 | 외이도염 (원인 불명)
GAA006 | 외이염
GBA001 | 중이염
GCA001 | 내이염
LAA001 | 농피증 / 세균성 피부염
LAA002 | 말라세지아 피부염
LAA003 | 피부 사상균증 · 곰팡이성 피부염
LAA004 | 모낭염
LAA005 LAA006 | 모낭충증
LAA007 | 식이 알러지 알러지 피부염 (항원 특이적)
LAA008 | 아토피 (만성 피부염)
LAA009 | 지루성 피부염
LAA010 | 피하 농양
LAA011 | 지방층염
LAA012 | 호산구성 육아종
LAA013 | 홍반루프스
LAA014 | 천포창
LAA015 | 지간 피부염
LAA016 | 족피부염
LAA017 | 꼬리샘 과증식
LAA018 | 발톱 주위염
LAA019 | 옴진드기 · 개선충
LAA020 LAA022 | 벼룩 / 진드기 등 외부 기생충 질환 기타 피부 질환
QCA001 | 귀 가려움증 (원인 불명)
QFA001 | 발진 (원인 불명)
QFA002 | 피부염 (원인 불명)
QFA003 | 피부의 가려움증 (원인 불명)
QFA004 | 탈모 (원인 불명)
6 | 소화기 질환 | ABB002 | 소화관 림프종
ABA003 | 기타 소화기 계통의 양성 신생물
ABB003 | 기타 소화기 계통의 악성 신생물
ABC003 | 기타 소화기 계통의 신생물(양성 또는 악성이 불확실한)
KCA001 | 식도염
KCA002 | 식도 협착 / 식도 폐색
KCA003 | 거대 식도증 / 식도 확장증
KDA001 | 위염 / 위장염 / 장염
KDA002 | 위 / 십이지장 궤양
KDA003 KDA004 | 위 확장 및 염전 담즙성 구토 증후군
KDA005 | 유문협착증
KDA006 | 위장관 천공
KDA007 | 세균성 장염
KDA008 | 소장내 세균 과다 증식(SIBO)
KDA009 | 식이성 장 질환
KDA010 | 염증성 장 질환(IBD)
KDA011 | 단백 소실성 장증(PLE)
KDA012 | 장폐색
KDA013 | 변비 (거대결장증 포함)
KDA014 | 모구증 (헤어볼 질환)
KDA015 | 장중첩
