구 분 | 특정질병 | 분류코드 | 항목명
AGB002 | 이행상피세포암종 (방광)
AGA003 | 기타 방광의 양성 신생물
AGB003 | 기타 방광의 악성 신생물
AGC003 | 기타 방광의 신생물 (양성 또는 악성이 불확실한)
AGA004 | 기타 비뇨기계 양성 신생물
AGB004 | 기타 비뇨기계 악성 신생물
AGC004 | 기타 비뇨기계 신생물 (양성 또는 악성이 불확실한)
OAA002 | 신우 신염
OAA003 | 수신증
OAA005 | 신장 결석
OAA006 | 방광염
OAA007 | 방광 결석
OAA008 | 요도 폐색
OAA009 | 요로 결석증
OAA010 | 신경성 배뇨 이상
OAA014 | 기타 비뇨기계 질환
QGA001 | 혈뇨 (원인 불명)
QGA002 QGA003 | 요실금 (원인 불명) 비정상 성분의 소변 (원인 불명)
QGA004 | 핍뇨 (원인 불명)
5 | 피부질환 | AFA001 | 지방종
AFA002 | 조직구종 (피부)
AFA003 | 유두종 (피부)
AFA004 | 피지종
AFA005 | 모낭상피종
AFA006 | 기저세포종
AFA007 | 비만세포종 (피부) (양성)
AFB007 | 악성 비만세포종 (피부) (악성) 비만세포종(피부) (양성 또는 악성이 불 확실한)
AFC007 | 흑색종 (양성)
AFA008 | 흑색종 (악성)
AFB008 AFC008 | 흑색종 (양성 또는 악성이 불확실한)
AFB009 | 피부 림프종
AFB010 | 편평세포암종
AFA011 | 항문주위선종
AFB012 | 항문주위선암종
AFA013 | 상세미상의 피부 신생물 (양성)
AFB013 | 상세미상의 피부 신생물 (악성)
AFC013 | 상세미상의 피부 신생물 (양성 또는 악성 이 불확실한)
AFA014 | 기타 피부 신생물 (양성)
AFB014 | 기타 피부 신생물 (악성)
AFC014 | 기타 피부 신생물 (양성 또는 악성이 불 확실한)
GAA001 | 외이도염 (세균성)
