구 분 | 특정질병 | 분류코드 | 항목명
GAA002 | 외이도염 (말라세지아)
GAA003 | 외이도염 (알러지성)
GAA004 | 외이도염 (원인 불명)
GAA006 | 외이염
GBA001 | 중이염
GCA001 | 내이염
LAA001 | 농피증 / 세균성 피부염
LAA002 | 말라세지아 피부염
LAA003 | 피부 사상균증 · 곰팡이성 피부염
LAA004 | 모낭염
LAA005 | 모낭충증
LAA006 | 식이 알러지
LAA007 | 알러지 피부염 (항원 특이적)
LAA008 | 아토피 (만성 피부염)
LAA009 | 지루성 피부염
LAA010 | 피하 농양
LAA011 | 지방층염
LAA012 | 호산구성 육아종
LAA013 | 홍반루프스
LAA014 | 천포창
LAA015 | 지간 피부염
LAA016 LAA017 | 족피부염 꼬리샘 과증식
LAA018 | 발톱 주위염
옴진드기 · 개선충
LAA019
LAA020 LAA022 | 벼룩 / 진드기 등 외부 기생충 질환 기타 피부 질환
QCA001 | 귀 가려움증 (원인 불명)
QFA001 | 발진 (원인 불명)
QFA002 | 피부염 (원인 불명)
QFA003 | 피부의 가려움증 (원인 불명)
QFA004 | 탈모 (원인 불명)
