약 관에 규정하는 골절로 분류되는 상병은 제9차 개정 한국표준질병·사인분류(통계청 고 시 제2025-299호, 2026. 1. 1 시행) 중 다음에 적은 상병을 말하며, 이후 한국표준질병· 사인분류가 개정되는 경우는 개정된 기준에 따라 이 약관에서 보장하는 상병의 해당 여 부를 판단합니다.
분류항목 | 분류번호
1 . 두개골 및 안면골의 골절 | S02
(치아의 파절 및 파절치 제외) | (S02.5 제외)
2 . 머리의 으깸손상 | S07
3 . 머리의 상세불명 손상 | S09.9
4 . 목의 골절 | S12
5 . 늑골, 흉골 및 흉추의 골절 | S22
6 . 요추 및 골반의 골절 | S32
7 . 어깨 및 위팔의 골절 | S42
8 . 아래팔의 골절 | S52
9 . 손목 및 손부위의 골절 | S62
10. 대퇴골의 골절 | S72
11. 발목을 포함한 아래다리의 골절 | S82
12. 발목을 제외한 발의 골절 | S92
13. 여러 신체부위를 침범한 골절 | T02
14. 척추의 상세불명 부위의 골절 | T08
15. 팔의 상세불명 부위의 골절 | T10
16. 다리의 상세불명 부위의 골절 | T12
17. 상세불명의 신체부위의 골절 | T14.2
18. 척추 및 척수의 출산손상 | P11.5
19. 출산손상으로 인한 두개골골절 | P13.0
20. 두개골의 기타 출산손상 | P13.1
21. 대퇴골의 출산손상 | P13.2
22. 기타 긴뼈의 출산손상 | P13.3
23. 출산손상으로 인한 쇄골의 골절 | P13.4
24. 기타 골격 부분의 출산손상 | P13.8
분류항목 분류번호 25. 상세불명의 골격의 출산손상 P13.9
주 ) 1. 제10차 개정 이후 이 약관에서 보장하는 상병의 해당 여부는 피보험자가 진단된 당시 시행되 고 있는 한국표준질병·사인분류에 따라 판단합니다. 2 . 진단 당시의 한국표준질병·사인분류에 따라 이 약관에서 보장하는 상병에 대한 보험금 지급 여부가 판단된 경우, 이후 한국표준질병·사인분류 개정으로 상병분류가 변경되더라도 이 약 관에서 보장하는 상병 해당 여부를 다시 판단하지 않습니다.
