[별표-상해관련3] 5대골절 분류표
약 관에 규정하는 5대골절로 분류되는 상병은 제9차 개정 한국표준질병·사인분류(통계청 고시 제2025-299호, 2026. 1. 1 시행) 중 다음에 적은 상병을 말하며, 이후 한국표준질병 ·사인분류가 개정되는 경우는 개정된 기준에 따라 이 약관에서 보장하는 상병의 해당 여부를 판단합니다.
분류항목 | 분류번호
1 . 머리의 으깸손상 | S07
2 . 목의 골절 | S12
3 . 흉추의 골절 및 흉추의 다발골절 | S22.0 - S22.1
4 . 요추 및 골반의 골절 | S32
5 . 대퇴골의 골절 | S72
6 . 출산손상으로 인한 두개골골절 | P13.0
7 . 두개골의 기타 출산손상 | P13.1
8 . 척추 및 척수의 출산손상 | P11.5
9 . 대퇴골의 출산손상 | P13.2
주 ) 1. 제10차 개정 이후 이 약관에서 보장하는 상병의 해당 여부는 피보험자가 진단된 당시 시행되 고 있는 한국표준질병·사인분류에 따라 판단합니다. 2 . 진단 당시의 한국표준질병·사인분류에 따라 이 약관에서 보장하는 상병에 대한 보험금 지급 여부가 판단된 경우, 이후 한국표준질병·사인분류 개정으로 상병분류가 변경되더라도 이 약 관에서 보장하는 상병 해당 여부를 다시 판단하지 않습니다.
